Rk,Team,Date,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Match Report
1,Valencia,2000-09-09,@,Real Madrid,es La Liga,L 1-2,1,2,-1,,0,1,,,Match Report
2,Real Madrid,2000-09-09,,Valencia,es La Liga,W 2-1,2,1,1,,2,0,,,Match Report
3,Espanyol,2000-09-09,@,Zaragoza,es La Liga,W 2-1,2,1,1,,1,1,,,Match Report
4,Real Sociedad,2000-09-09,,Racing Sant,es La Liga,D 2-2,2,2,0,,1,1,,,Match Report
5,La Coruña,2000-09-09,,Athletic Club,es La Liga,W 2-0,2,0,2,,1,1,,,Match Report
6,Zaragoza,2000-09-09,,Espanyol,es La Liga,L 1-2,1,2,-1,,1,0,,,Match Report
7,Barcelona,2000-09-09,,Málaga,es La Liga,W 2-1,2,1,1,,2,0,,,Match Report
8,Málaga,2000-09-09,@,Barcelona,es La Liga,L 1-2,1,2,-1,,1,0,,,Match Report
9,Racing Sant,2000-09-09,@,Real Sociedad,es La Liga,D 2-2,2,2,0,,1,1,,,Match Report
10,Athletic Club,2000-09-09,@,La Coruña,es La Liga,L 0-2,0,2,-2,,0,0,,,Match Report
11,Osasuna,2000-09-10,,Celta Vigo,es La Liga,L 0-2,0,2,-2,,0,0,,,Match Report
12,Alavés,2000-09-10,@,Las Palmas,es La Liga,W 3-0,3,0,3,,3,0,,,Match Report
13,Oviedo,2000-09-10,@,Numancia,es La Liga,L 0-1,0,1,-1,,0,0,,,Match Report
14,Numancia,2000-09-10,,Oviedo,es La Liga,W 1-0,1,0,1,,1,0,,,Match Report
15,Celta Vigo,2000-09-10,@,Osasuna,es La Liga,W 2-0,2,0,2,,2,0,,,Match Report
16,Mallorca,2000-09-10,,Valladolid,es La Liga,D 1-1,1,1,0,,1,0,,,Match Report
17,Valladolid,2000-09-10,@,Mallorca,es La Liga,D 1-1,1,1,0,,1,0,,,Match Report
18,Las Palmas,2000-09-10,,Alavés,es La Liga,L 0-3,0,3,-3,,0,0,,,Match Report
19,Rayo Vallecano,2000-09-10,@,Villarreal,es La Liga,W 5-1,5,1,4,,4,1,,,Match Report
20,Villarreal,2000-09-10,,Rayo Vallecano,es La Liga,L 1-5,1,5,-4,,1,0,,,Match Report
21,Valladolid,2000-09-16,,Numancia,es La Liga,W 2-0,2,0,2,,2,0,,,Match Report
22,Málaga,2000-09-16,,Real Madrid,es La Liga,D 3-3,3,3,0,,3,0,,,Match Report
23,Barcelona,2000-09-16,@,Athletic Club,es La Liga,L 1-3,1,3,-2,,1,0,,,Match Report
24,Numancia,2000-09-16,@,Valladolid,es La Liga,L 0-2,0,2,-2,,0,0,,,Match Report
25,La Coruña,2000-09-16,@,Racing Sant,es La Liga,W 3-0,3,0,3,,3,0,,,Match Report
26,Valencia,2000-09-16,,Mallorca,es La Liga,W 4-0,4,0,4,,3,1,,,Match Report
27,Real Madrid,2000-09-16,@,Málaga,es La Liga,D 3-3,3,3,0,,3,0,,,Match Report
28,Mallorca,2000-09-16,@,Valencia,es La Liga,L 0-4,0,4,-4,,0,0,,,Match Report
29,Athletic Club,2000-09-16,,Barcelona,es La Liga,W 3-1,3,1,2,,1,2,,,Match Report
30,Racing Sant,2000-09-16,,La Coruña,es La Liga,L 0-3,0,3,-3,,0,0,,,Match Report
31,Oviedo,2000-09-17,,Las Palmas,es La Liga,D 2-2,2,2,0,,2,0,,,Match Report
32,Rayo Vallecano,2000-09-17,,Zaragoza,es La Liga,D 0-0,0,0,0,,0,0,,,Match Report
33,Las Palmas,2000-09-17,@,Oviedo,es La Liga,D 2-2,2,2,0,,1,1,,,Match Report
34,Villarreal,2000-09-17,@,Alavés,es La Liga,W 1-0,1,0,1,,1,0,,,Match Report
35,Espanyol,2000-09-17,,Osasuna,es La Liga,L 1-2,1,2,-1,,1,0,,,Match Report
36,Osasuna,2000-09-17,@,Espanyol,es La Liga,W 2-1,2,1,1,,1,0,,,Match Report
37,Alavés,2000-09-17,,Villarreal,es La Liga,L 0-1,0,1,-1,,0,0,,,Match Report
38,Celta Vigo,2000-09-17,,Real Sociedad,es La Liga,W 4-1,4,1,3,,4,0,,,Match Report
39,Real Sociedad,2000-09-17,@,Celta Vigo,es La Liga,L 1-4,1,4,-3,,0,1,,,Match Report
40,Zaragoza,2000-09-17,@,Rayo Vallecano,es La Liga,D 0-0,0,0,0,,0,0,,,Match Report
41,Alavés,2000-09-23,@,Zaragoza,es La Liga,D 2-2,2,2,0,,2,0,,,Match Report
42,Valladolid,2000-09-23,@,Las Palmas,es La Liga,D 1-1,1,1,0,,1,0,,,Match Report
43,Real Madrid,2000-09-23,,Athletic Club,es La Liga,W 4-1,4,1,3,,4,0,,,Match Report
44,Zaragoza,2000-09-23,,Alavés,es La Liga,D 2-2,2,2,0,,2,0,,,Match Report
45,Las Palmas,2000-09-23,,Valladolid,es La Liga,D 1-1,1,1,0,,1,0,,,Match Report
46,Athletic Club,2000-09-23,@,Real Madrid,es La Liga,L 1-4,1,4,-3,,1,0,,,Match Report
47,La Coruña,2000-09-23,@,Real Sociedad,es La Liga,D 1-1,1,1,0,,1,0,,,Match Report
48,Barcelona,2000-09-23,,Racing Sant,es La Liga,W 3-1,3,1,2,,3,0,,,Match Report
49,Real Sociedad,2000-09-23,,La Coruña,es La Liga,D 1-1,1,1,0,,1,0,,,Match Report
50,Racing Sant,2000-09-23,@,Barcelona,es La Liga,L 1-3,1,3,-2,,1,0,,,Match Report
51,Valencia,2000-09-24,@,Numancia,es La Liga,W 3-0,3,0,3,,3,0,,,Match Report
52,Villarreal,2000-09-24,,Oviedo,es La Liga,W 1-0,1,0,1,,1,0,,,Match Report
53,Numancia,2000-09-24,,Valencia,es La Liga,L 0-3,0,3,-3,,0,0,,,Match Report
54,Rayo Vallecano,2000-09-24,@,Osasuna,es La Liga,D 2-2,2,2,0,,1,1,,,Match Report
55,Espanyol,2000-09-24,@,Celta Vigo,es La Liga,L 0-1,0,1,-1,,0,0,,,Match Report
56,Celta Vigo,2000-09-24,,Espanyol,es La Liga,W 1-0,1,0,1,,1,0,,,Match Report
57,Málaga,2000-09-24,@,Mallorca,es La Liga,W 1-0,1,0,1,,1,0,,,Match Report
58,Oviedo,2000-09-24,@,Villarreal,es La Liga,L 0-1,0,1,-1,,0,0,,,Match Report
59,Mallorca,2000-09-24,,Málaga,es La Liga,L 0-1,0,1,-1,,0,0,,,Match Report
60,Osasuna,2000-09-24,,Rayo Vallecano,es La Liga,D 2-2,2,2,0,,2,0,,,Match Report
61,Real Madrid,2000-09-30,@,Racing Sant,es La Liga,D 0-0,0,0,0,,0,0,,,Match Report
62,Racing Sant,2000-09-30,,Real Madrid,es La Liga,D 0-0,0,0,0,,0,0,,,Match Report
63,Oviedo,2000-10-01,,Zaragoza,es La Liga,W 2-1,2,1,1,,2,0,,,Match Report
64,Valencia,2000-10-01,,Las Palmas,es La Liga,W 5-1,5,1,4,,5,0,,,Match Report
65,Rayo Vallecano,2000-10-01,,Celta Vigo,es La Liga,W 3-0,3,0,3,,3,0,,,Match Report
66,Málaga,2000-10-01,,Numancia,es La Liga,L 1-3,1,3,-2,,1,0,,,Match Report
67,Zaragoza,2000-10-01,@,Oviedo,es La Liga,L 1-2,1,2,-1,,1,0,,,Match Report
68,Alavés,2000-10-01,,Osasuna,es La Liga,W 2-0,2,0,2,,1,1,,,Match Report
69,Osasuna,2000-10-01,@,Alavés,es La Liga,L 0-2,0,2,-2,,0,0,,,Match Report
70,Mallorca,2000-10-01,@,Athletic Club,es La Liga,L 1-2,1,2,-1,,1,0,,,Match Report
71,Las Palmas,2000-10-01,@,Valencia,es La Liga,L 1-5,1,5,-4,,1,0,,,Match Report
72,Athletic Club,2000-10-01,,Mallorca,es La Liga,W 2-1,2,1,1,,2,0,,,Match Report
73,Villarreal,2000-10-01,@,Valladolid,es La Liga,D 0-0,0,0,0,,0,0,,,Match Report
74,Valladolid,2000-10-01,,Villarreal,es La Liga,D 0-0,0,0,0,,0,0,,,Match Report
75,Numancia,2000-10-01,@,Málaga,es La Liga,W 3-1,3,1,2,,3,0,,,Match Report
76,Real Sociedad,2000-10-01,@,Espanyol,es La Liga,W 2-1,2,1,1,,1,1,,,Match Report
77,Celta Vigo,2000-10-01,@,Rayo Vallecano,es La Liga,L 0-3,0,3,-3,,0,0,,,Match Report
78,La Coruña,2000-10-01,,Barcelona,es La Liga,W 2-0,2,0,2,,2,0,,,Match Report
79,Espanyol,2000-10-01,,Real Sociedad,es La Liga,L 1-2,1,2,-1,,0,1,,,Match Report
80,Barcelona,2000-10-01,@,La Coruña,es La Liga,L 0-2,0,2,-2,,0,0,,,Match Report
81,Málaga,2000-10-14,@,Las Palmas,es La Liga,L 1-2,1,2,-1,,1,0,,,Match Report
82,Las Palmas,2000-10-14,,Málaga,es La Liga,W 2-1,2,1,1,,2,0,,,Match Report
83,La Coruña,2000-10-14,@,Real Madrid,es La Liga,L 0-3,0,3,-3,,0,0,,,Match Report
84,Valencia,2000-10-14,@,Villarreal,es La Liga,D 1-1,1,1,0,,1,0,,,Match Report
85,Rayo Vallecano,2000-10-14,@,Espanyol,es La Liga,D 0-0,0,0,0,,0,0,,,Match Report
86,Espanyol,2000-10-14,,Rayo Vallecano,es La Liga,D 0-0,0,0,0,,0,0,,,Match Report
87,Barcelona,2000-10-14,@,Real Sociedad,es La Liga,W 6-0,6,0,6,,5,1,,,Match Report
88,Real Sociedad,2000-10-14,,Barcelona,es La Liga,L 0-6,0,6,-6,,0,0,,,Match Report
89,Villarreal,2000-10-14,,Valencia,es La Liga,D 1-1,1,1,0,,1,0,,,Match Report
90,Real Madrid,2000-10-14,,La Coruña,es La Liga,W 3-0,3,0,3,,2,1,,,Match Report
91,Valladolid,2000-10-15,@,Zaragoza,es La Liga,D 0-0,0,0,0,,0,0,,,Match Report
92,Athletic Club,2000-10-15,@,Numancia,es La Liga,D 0-0,0,0,0,,0,0,,,Match Report
93,Oviedo,2000-10-15,@,Osasuna,es La Liga,D 0-0,0,0,0,,0,0,,,Match Report
94,Osasuna,2000-10-15,,Oviedo,es La Liga,D 0-0,0,0,0,,0,0,,,Match Report
95,Numancia,2000-10-15,,Athletic Club,es La Liga,D 0-0,0,0,0,,0,0,,,Match Report
96,Racing Sant,2000-10-15,@,Mallorca,es La Liga,L 1-2,1,2,-1,,1,0,,,Match Report
97,Zaragoza,2000-10-15,,Valladolid,es La Liga,D 0-0,0,0,0,,0,0,,,Match Report
98,Celta Vigo,2000-10-15,,Alavés,es La Liga,D 1-1,1,1,0,,1,0,,,Match Report
99,Alavés,2000-10-15,@,Celta Vigo,es La Liga,D 1-1,1,1,0,,0,1,,,Match Report
100,Mallorca,2000-10-15,,Racing Sant,es La Liga,W 2-1,2,1,1,,2,0,,,Match Report
101,Valencia,2000-10-21,,Zaragoza,es La Liga,W 1-0,1,0,1,,1,0,,,Match Report
102,La Coruña,2000-10-21,,Mallorca,es La Liga,D 1-1,1,1,0,,1,0,,,Match Report
103,Barcelona,2000-10-21,,Real Madrid,es La Liga,W 2-0,2,0,2,,2,0,,,Match Report
104,Zaragoza,2000-10-21,@,Valencia,es La Liga,L 0-1,0,1,-1,,0,0,,,Match Report
105,Mallorca,2000-10-21,@,La Coruña,es La Liga,D 1-1,1,1,0,,1,0,,,Match Report
106,Real Madrid,2000-10-21,@,Barcelona,es La Liga,L 0-2,0,2,-2,,0,0,,,Match Report
107,Racing Sant,2000-10-22,,Numancia,es La Liga,W 4-2,4,2,2,,2,2,,,Match Report
108,Athletic Club,2000-10-22,,Las Palmas,es La Liga,L 0-3,0,3,-3,,0,0,,,Match Report
109,Las Palmas,2000-10-22,@,Athletic Club,es La Liga,W 3-0,3,0,3,,3,0,,,Match Report
110,Celta Vigo,2000-10-22,@,Oviedo,es La Liga,L 1-3,1,3,-2,,1,0,,,Match Report
111,Valladolid,2000-10-22,,Osasuna,es La Liga,D 1-1,1,1,0,,0,1,,,Match Report
112,Osasuna,2000-10-22,@,Valladolid,es La Liga,D 1-1,1,1,0,,1,0,,,Match Report
113,Rayo Vallecano,2000-10-22,,Real Sociedad,es La Liga,W 4-1,4,1,3,,4,0,,,Match Report
114,Alavés,2000-10-22,,Espanyol,es La Liga,W 1-0,1,0,1,,1,0,,,Match Report
115,Numancia,2000-10-22,@,Racing Sant,es La Liga,L 2-4,2,4,-2,,2,0,,,Match Report
116,Villarreal,2000-10-22,@,Málaga,es La Liga,L 1-2,1,2,-1,,0,1,,,Match Report
117,Espanyol,2000-10-22,@,Alavés,es La Liga,L 0-1,0,1,-1,,0,0,,,Match Report
118,Málaga,2000-10-22,,Villarreal,es La Liga,W 2-1,2,1,1,,2,0,,,Match Report
119,Oviedo,2000-10-22,,Celta Vigo,es La Liga,W 3-1,3,1,2,,3,0,,,Match Report
120,Real Sociedad,2000-10-22,@,Rayo Vallecano,es La Liga,L 1-4,1,4,-3,,1,0,,,Match Report
121,Málaga,2000-10-28,@,Zaragoza,es La Liga,D 1-1,1,1,0,,1,0,,,Match Report
122,Racing Sant,2000-10-28,@,Las Palmas,es La Liga,L 1-2,1,2,-1,,0,1,,,Match Report
123,La Coruña,2000-10-28,@,Numancia,es La Liga,W 2-1,2,1,1,,2,0,,,Match Report
124,Villarreal,2000-10-28,,Athletic Club,es La Liga,D 0-0,0,0,0,,0,0,,,Match Report
125,Barcelona,2000-10-28,@,Mallorca,es La Liga,L 0-2,0,2,-2,,0,0,,,Match Report
126,Las Palmas,2000-10-28,,Racing Sant,es La Liga,W 2-1,2,1,1,,0,1,,,Match Report
127,Zaragoza,2000-10-28,,Málaga,es La Liga,D 1-1,1,1,0,,1,0,,,Match Report
128,Athletic Club,2000-10-28,@,Villarreal,es La Liga,D 0-0,0,0,0,,0,0,,,Match Report
129,Mallorca,2000-10-28,,Barcelona,es La Liga,W 2-0,2,0,2,,2,0,,,Match Report
130,Numancia,2000-10-28,,La Coruña,es La Liga,L 1-2,1,2,-1,,1,0,,,Match Report
131,Espanyol,2000-10-29,,Oviedo,es La Liga,W 2-0,2,0,2,,2,0,,,Match Report
132,Valencia,2000-10-29,@,Osasuna,es La Liga,W 2-1,2,1,1,,1,0,,,Match Report
133,Osasuna,2000-10-29,,Valencia,es La Liga,L 1-2,1,2,-1,,1,0,,,Match Report
134,Rayo Vallecano,2000-10-29,,Alavés,es La Liga,L 0-1,0,1,-1,,0,0,,,Match Report
135,Oviedo,2000-10-29,@,Espanyol,es La Liga,L 0-2,0,2,-2,,0,0,,,Match Report
136,Valladolid,2000-10-29,@,Celta Vigo,es La Liga,L 1-2,1,2,-1,,1,0,,,Match Report
137,Celta Vigo,2000-10-29,,Valladolid,es La Liga,W 2-1,2,1,1,,2,0,,,Match Report
138,Real Sociedad,2000-10-29,,Real Madrid,es La Liga,L 1-4,1,4,-3,,1,0,,,Match Report
139,Real Madrid,2000-10-29,@,Real Sociedad,es La Liga,W 4-1,4,1,3,,3,1,,,Match Report
140,Alavés,2000-10-29,@,Rayo Vallecano,es La Liga,W 1-0,1,0,1,,1,0,,,Match Report
141,La Coruña,2000-10-31,,Las Palmas,es La Liga,W 4-0,4,0,4,,4,0,,,Match Report
142,Las Palmas,2000-10-31,@,La Coruña,es La Liga,L 0-4,0,4,-4,,0,0,,,Match Report
143,Athletic Club,2000-11-01,,Zaragoza,es La Liga,L 1-2,1,2,-1,,1,0,,,Match Report
144,Barcelona,2000-11-01,,Numancia,es La Liga,D 1-1,1,1,0,,0,1,,,Match Report
145,Zaragoza,2000-11-01,@,Athletic Club,es La Liga,W 2-1,2,1,1,,1,0,,,Match Report
146,Rayo Vallecano,2000-11-01,@,Oviedo,es La Liga,L 1-4,1,4,-3,,1,0,,,Match Report
147,Málaga,2000-11-01,,Osasuna,es La Liga,W 3-1,3,1,2,,3,0,,,Match Report
148,Valencia,2000-11-01,,Celta Vigo,es La Liga,W 1-0,1,0,1,,1,0,,,Match Report
149,Espanyol,2000-11-01,@,Valladolid,es La Liga,D 1-1,1,1,0,,1,0,,,Match Report
150,Real Sociedad,2000-11-01,@,Alavés,es La Liga,W 1-0,1,0,1,,1,0,,,Match Report
151,Alavés,2000-11-01,,Real Sociedad,es La Liga,L 0-1,0,1,-1,,0,0,,,Match Report
152,Real Madrid,2000-11-01,,Mallorca,es La Liga,L 0-2,0,2,-2,,0,0,,,Match Report
153,Valladolid,2000-11-01,,Espanyol,es La Liga,D 1-1,1,1,0,,1,0,,,Match Report
154,Racing Sant,2000-11-01,,Villarreal,es La Liga,W 3-1,3,1,2,,3,0,,,Match Report
155,Oviedo,2000-11-01,,Rayo Vallecano,es La Liga,W 4-1,4,1,3,,3,0,,,Match Report
156,Osasuna,2000-11-01,@,Málaga,es La Liga,L 1-3,1,3,-2,,0,1,,,Match Report
157,Mallorca,2000-11-01,@,Real Madrid,es La Liga,W 2-0,2,0,2,,2,0,,,Match Report
158,Villarreal,2000-11-01,@,Racing Sant,es La Liga,L 1-3,1,3,-2,,1,0,,,Match Report
159,Numancia,2000-11-01,@,Barcelona,es La Liga,D 1-1,1,1,0,,1,0,,,Match Report
160,Celta Vigo,2000-11-01,@,Valencia,es La Liga,L 0-1,0,1,-1,,0,0,,,Match Report
161,Barcelona,2000-11-04,@,Las Palmas,es La Liga,W 1-0,1,0,1,,1,0,,,Match Report
162,Real Madrid,2000-11-04,@,Numancia,es La Liga,L 1-3,1,3,-2,,1,0,,,Match Report
163,Espanyol,2000-11-04,,Valencia,es La Liga,W 1-0,1,0,1,,1,0,,,Match Report
164,Numancia,2000-11-04,,Real Madrid,es La Liga,W 3-1,3,1,2,,3,0,,,Match Report
165,Valencia,2000-11-04,@,Espanyol,es La Liga,L 0-1,0,1,-1,,0,0,,,Match Report
166,Celta Vigo,2000-11-04,,Málaga,es La Liga,W 1-0,1,0,1,,1,0,,,Match Report
167,La Coruña,2000-11-04,@,Villarreal,es La Liga,L 2-3,2,3,-1,,2,0,,,Match Report
168,Málaga,2000-11-04,@,Celta Vigo,es La Liga,L 0-1,0,1,-1,,0,0,,,Match Report
169,Las Palmas,2000-11-04,,Barcelona,es La Liga,L 0-1,0,1,-1,,0,0,,,Match Report
170,Villarreal,2000-11-04,,La Coruña,es La Liga,W 3-2,3,2,1,,3,0,,,Match Report
171,Racing Sant,2000-11-05,@,Zaragoza,es La Liga,L 0-2,0,2,-2,,0,0,,,Match Report
172,Mallorca,2000-11-05,@,Real Sociedad,es La Liga,W 1-0,1,0,1,,1,0,,,Match Report
173,Osasuna,2000-11-05,,Athletic Club,es La Liga,D 1-1,1,1,0,,1,0,,,Match Report
174,Oviedo,2000-11-05,@,Alavés,es La Liga,L 0-4,0,4,-4,,0,0,,,Match Report
175,Alavés,2000-11-05,,Oviedo,es La Liga,W 4-0,4,0,4,,2,1,,,Match Report
176,Zaragoza,2000-11-05,,Racing Sant,es La Liga,W 2-0,2,0,2,,2,0,,,Match Report
177,Athletic Club,2000-11-05,@,Osasuna,es La Liga,D 1-1,1,1,0,,0,1,,,Match Report
178,Real Sociedad,2000-11-05,,Mallorca,es La Liga,L 0-1,0,1,-1,,0,0,,,Match Report
179,Rayo Vallecano,2000-11-05,,Valladolid,es La Liga,W 2-1,2,1,1,,2,0,,,Match Report
180,Valladolid,2000-11-05,@,Rayo Vallecano,es La Liga,L 1-2,1,2,-1,,1,0,,,Match Report
181,La Coruña,2000-11-11,,Zaragoza,es La Liga,W 2-0,2,0,2,,2,0,,,Match Report
182,Zaragoza,2000-11-11,@,La Coruña,es La Liga,L 0-2,0,2,-2,,0,0,,,Match Report
183,Real Sociedad,2000-11-12,@,Oviedo,es La Liga,L 0-1,0,1,-1,,0,0,,,Match Report
184,Rayo Vallecano,2000-11-12,@,Valencia,es La Liga,D 2-2,2,2,0,,2,0,,,Match Report
185,Mallorca,2000-11-12,,Numancia,es La Liga,W 2-1,2,1,1,,2,0,,,Match Report
186,Celta Vigo,2000-11-12,@,Athletic Club,es La Liga,L 1-2,1,2,-1,,1,0,,,Match Report
187,Numancia,2000-11-12,@,Mallorca,es La Liga,L 1-2,1,2,-1,,1,0,,,Match Report
188,Valladolid,2000-11-12,,Alavés,es La Liga,W 2-1,2,1,1,,2,0,,,Match Report
189,Barcelona,2000-11-12,,Villarreal,es La Liga,L 1-2,1,2,-1,,1,0,,,Match Report
190,Osasuna,2000-11-12,@,Racing Sant,es La Liga,D 0-0,0,0,0,,0,0,,,Match Report
191,Alavés,2000-11-12,@,Valladolid,es La Liga,L 1-2,1,2,-1,,1,0,,,Match Report
192,Las Palmas,2000-11-12,@,Real Madrid,es La Liga,L 1-5,1,5,-4,,1,0,,,Match Report
193,Espanyol,2000-11-12,@,Málaga,es La Liga,D 0-0,0,0,0,,0,0,,,Match Report
194,Oviedo,2000-11-12,,Real Sociedad,es La Liga,W 1-0,1,0,1,,1,0,,,Match Report
195,Villarreal,2000-11-12,@,Barcelona,es La Liga,W 2-1,2,1,1,,2,0,,,Match Report
196,Valencia,2000-11-12,,Rayo Vallecano,es La Liga,D 2-2,2,2,0,,2,0,,,Match Report
197,Athletic Club,2000-11-12,,Celta Vigo,es La Liga,W 2-1,2,1,1,,2,0,,,Match Report
198,Racing Sant,2000-11-12,,Osasuna,es La Liga,D 0-0,0,0,0,,0,0,,,Match Report
199,Málaga,2000-11-12,,Espanyol,es La Liga,D 0-0,0,0,0,,0,0,,,Match Report
200,Real Madrid,2000-11-12,,Las Palmas,es La Liga,W 5-1,5,1,4,,4,1,,,Match Report
201,Mallorca,2000-11-18,@,Las Palmas,es La Liga,L 0-1,0,1,-1,,0,0,,,Match Report
202,La Coruña,2000-11-18,@,Osasuna,es La Liga,D 1-1,1,1,0,,1,0,,,Match Report
203,Villarreal,2000-11-18,,Real Madrid,es La Liga,L 0-1,0,1,-1,,0,0,,,Match Report
204,Osasuna,2000-11-18,,La Coruña,es La Liga,D 1-1,1,1,0,,1,0,,,Match Report
205,Real Madrid,2000-11-18,@,Villarreal,es La Liga,W 1-0,1,0,1,,0,0,,,Match Report
206,Las Palmas,2000-11-18,,Mallorca,es La Liga,W 1-0,1,0,1,,1,0,,,Match Report
207,Valencia,2000-11-18,@,Alavés,es La Liga,D 1-1,1,1,0,,1,0,,,Match Report
208,Alavés,2000-11-18,,Valencia,es La Liga,D 1-1,1,1,0,,1,0,,,Match Report
209,Racing Sant,2000-11-19,@,Celta Vigo,es La Liga,D 1-1,1,1,0,,0,0,,,Match Report
210,Valladolid,2000-11-19,@,Oviedo,es La Liga,L 1-4,1,4,-3,,1,0,,,Match Report
211,Numancia,2000-11-19,@,Real Sociedad,es La Liga,L 1-4,1,4,-3,,1,0,,,Match Report
212,Oviedo,2000-11-19,,Valladolid,es La Liga,W 4-1,4,1,3,,4,0,,,Match Report
213,Athletic Club,2000-11-19,@,Espanyol,es La Liga,L 1-2,1,2,-1,,1,0,,,Match Report
214,Rayo Vallecano,2000-11-19,,Málaga,es La Liga,W 4-2,4,2,2,,3,0,,,Match Report
215,Zaragoza,2000-11-19,,Barcelona,es La Liga,W 3-1,3,1,2,,3,0,,,Match Report
216,Málaga,2000-11-19,@,Rayo Vallecano,es La Liga,L 2-4,2,4,-2,,2,0,,,Match Report
217,Celta Vigo,2000-11-19,,Racing Sant,es La Liga,D 1-1,1,1,0,,1,0,,,Match Report
218,Espanyol,2000-11-19,,Athletic Club,es La Liga,W 2-1,2,1,1,,2,0,,,Match Report
219,Barcelona,2000-11-19,@,Zaragoza,es La Liga,L 1-3,1,3,-2,,1,0,,,Match Report
220,Real Sociedad,2000-11-19,,Numancia,es La Liga,W 4-1,4,1,3,,4,0,,,Match Report
221,Mallorca,2000-11-25,,Villarreal,es La Liga,W 2-1,2,1,1,,2,0,,,Match Report
222,Villarreal,2000-11-25,@,Mallorca,es La Liga,L 1-2,1,2,-1,,1,0,,,Match Report
223,Numancia,2000-11-26,,Las Palmas,es La Liga,L 0-1,0,1,-1,,0,0,,,Match Report
224,La Coruña,2000-11-26,,Celta Vigo,es La Liga,W 1-0,1,0,1,,1,0,,,Match Report
225,Valencia,2000-11-26,,Oviedo,es La Liga,W 2-0,2,0,2,,1,1,,,Match Report
226,Barcelona,2000-11-26,,Osasuna,es La Liga,W 2-0,2,0,2,,2,0,,,Match Report
227,Real Sociedad,2000-11-26,@,Valladolid,es La Liga,L 1-2,1,2,-1,,1,0,,,Match Report
228,Racing Sant,2000-11-26,,Espanyol,es La Liga,L 1-2,1,2,-1,,1,0,,,Match Report
229,Valladolid,2000-11-26,,Real Sociedad,es La Liga,W 2-1,2,1,1,,2,0,,,Match Report
230,Alavés,2000-11-26,@,Málaga,es La Liga,L 1-3,1,3,-2,,1,0,,,Match Report
231,Osasuna,2000-11-26,@,Barcelona,es La Liga,L 0-2,0,2,-2,,0,0,,,Match Report
232,Celta Vigo,2000-11-26,@,La Coruña,es La Liga,L 0-1,0,1,-1,,0,0,,,Match Report
233,Athletic Club,2000-11-26,,Rayo Vallecano,es La Liga,W 4-2,4,2,2,,3,0,,,Match Report
234,Málaga,2000-11-26,,Alavés,es La Liga,W 3-1,3,1,2,,3,0,,,Match Report
235,Espanyol,2000-11-26,@,Racing Sant,es La Liga,W 2-1,2,1,1,,1,1,,,Match Report
236,Rayo Vallecano,2000-11-26,@,Athletic Club,es La Liga,L 2-4,2,4,-2,,2,0,,,Match Report
237,Las Palmas,2000-11-26,@,Numancia,es La Liga,W 1-0,1,0,1,,1,0,,,Match Report
238,Oviedo,2000-11-26,@,Valencia,es La Liga,L 0-2,0,2,-2,,0,0,,,Match Report
239,Real Madrid,2000-12-02,@,Osasuna,es La Liga,W 3-2,3,2,1,,3,0,,,Match Report
240,La Coruña,2000-12-02,@,Espanyol,es La Liga,W 2-0,2,0,2,,2,0,,,Match Report
241,Valencia,2000-12-02,@,Valladolid,es La Liga,D 0-0,0,0,0,,0,0,,,Match Report
242,Osasuna,2000-12-02,,Real Madrid,es La Liga,L 2-3,2,3,-1,,1,0,,,Match Report
243,Celta Vigo,2000-12-02,,Barcelona,es La Liga,D 3-3,3,3,0,,3,0,,,Match Report
244,Racing Sant,2000-12-02,@,Rayo Vallecano,es La Liga,L 1-4,1,4,-3,,1,0,,,Match Report
245,Espanyol,2000-12-02,,La Coruña,es La Liga,L 0-2,0,2,-2,,0,0,,,Match Report
246,Rayo Vallecano,2000-12-02,,Racing Sant,es La Liga,W 4-1,4,1,3,,3,0,,,Match Report
247,Valladolid,2000-12-02,,Valencia,es La Liga,D 0-0,0,0,0,,0,0,,,Match Report
248,Barcelona,2000-12-02,@,Celta Vigo,es La Liga,D 3-3,3,3,0,,3,0,,,Match Report
249,Real Sociedad,2000-12-03,,Las Palmas,es La Liga,D 1-1,1,1,0,,0,1,,,Match Report
250,Málaga,2000-12-03,@,Oviedo,es La Liga,L 2-3,2,3,-1,,2,0,,,Match Report
251,Las Palmas,2000-12-03,@,Real Sociedad,es La Liga,D 1-1,1,1,0,,1,0,,,Match Report
252,Oviedo,2000-12-03,,Málaga,es La Liga,W 3-2,3,2,1,,3,0,,,Match Report
253,Numancia,2000-12-03,@,Villarreal,es La Liga,D 0-0,0,0,0,,0,0,,,Match Report
254,Zaragoza,2000-12-03,,Mallorca,es La Liga,D 1-1,1,1,0,,1,0,,,Match Report
255,Alavés,2000-12-03,,Athletic Club,es La Liga,W 2-1,2,1,1,,1,1,,,Match Report
256,Athletic Club,2000-12-03,@,Alavés,es La Liga,L 1-2,1,2,-1,,1,0,,,Match Report
257,Villarreal,2000-12-03,,Numancia,es La Liga,D 0-0,0,0,0,,0,0,,,Match Report
258,Mallorca,2000-12-03,@,Zaragoza,es La Liga,D 1-1,1,1,0,,1,0,,,Match Report
259,Valencia,2000-12-09,,Real Sociedad,es La Liga,W 2-0,2,0,2,,2,0,,,Match Report
