Temporada,Jornada,Posicion_Local,Puntos_Acumulados_Local,Local,Goles_Acumulados_Local,Visitante,Goles_Acumulados_Visitantes,Puntos_Acumulados_Visitantes,Posicion_Visitante,Resultado,Ratio_Jornada_Local,Ratio_Jornada_Visitante,Estado_Tabla_Local,Estado_Tabla_Visitante,Racha_Local,Racha_Visitante,Racha_Puntos_Local,Racha_Puntos_Visitante,Media_Goles,Media_Goles_Local,Media_Goles_Visitante,Ranking_Local,Ranking_Visitante,Goles_Encajados_Local_Acumulados,Goles_Encajados_Visitante_Acumulados,Goles_Marcados_Local_Acumulados,Goles_Marcados_Visitante_Acumulados,Diferencia_Posicion,Rendimiento_Casa_Local,Rendimiento_Fuera_Visitante,Forma_Reciente_Local,Forma_Reciente_Visitante,Porterias_Cero_Local_Acum,Porterias_Cero_Visitante_Acum,Diferencia_Puntos_Local,Diferencia_Puntos_Visitante,Ratio_Goles_por_partido_Visitante,Ratio_Goles_por_partido_Local,Rendimiento_Ranking_Visitante,Rendimiento_Ranking_Local,Diferencia_Ranking,Local_Es_Favorito,Visitante_Es_Favorito,Ranking_Local_Cuadrado,Ranking_Visitante_Cuadrado,Rendimiento_Vistante,Rendimiento_Local,Local_Es_Ofensivo,Visitante_Es_Ofensivo,Local_Es_Defensivo,Visitante_Es_Defensivo
2000,2,1,3.0,0,3.0,39,1.0,0.0,13,2,1.5,0.0,0,1,0,0,2,2,0.0,0.0,0.0,62,269,0,0,0,0,-12,3.0,0.0,3.0,0.0,4,4,3.0,-3.0,0.5,1.5,0.0,93.0,-207,1,0,3844,72361,0.038461538461538464,1.5,0,0,0,0
2000,2,5,3.0,12,2.0,26,0.0,0.0,15,2,1.5,0.0,2,3,0,0,2,2,0.0,0.0,0.0,190,191,0,0,0,0,-10,3.0,0.0,3.0,0.0,4,4,3.0,-3.0,0.0,1.0,0.0,285.0,-1,1,0,36100,36481,0.0,0.2,0,0,0,0
2000,2,8,3.0,29,5.0,41,1.0,0.0,20,0,1.5,0.0,2,4,0,0,2,2,0.0,0.0,0.0,79,85,0,0,0,0,-12,3.0,0.0,3.0,0.0,5,5,3.0,-3.0,0.5,2.5,0.0,118.5,-6,1,0,6241,7225,0.025,0.3125,0,0,0,0
2000,2,16,0.0,27,0.0,20,0.0,0.0,19,0,0.0,0.0,3,4,0,0,2,2,0.0,0.0,0.0,18,35,0,0,0,0,-3,0.0,0.0,0.0,0.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,-17,1,0,324,1225,0.0,0.0,0,0,0,0
2000,3,4,4.0,30,5.0,3,3.0,3.0,7,1,1.3333333333333333,1.0,0,2,2,3,2,2,0.0,0.0,0.0,357,271,1,2,2,0,-3,2.0,1.5,2.0,1.5,5,5,1.0,-1.0,1.0,1.6666666666666667,271.0,476.0,86,0,1,127449,73441,0.14285714285714285,0.4166666666666667,0,0,1,0
2000,3,20,1.0,41,1.0,0,3.0,3.0,6,0,0.3333333333333333,1.0,4,2,3,2,2,2,0.0,0.0,0.0,85,62,2,0,1,3,14,0.5,1.5,0.5,1.5,5,5,-2.0,2.0,1.0,0.3333333333333333,62.0,28.333333333333332,23,0,1,7225,3844,0.16666666666666666,0.016666666666666666,0,0,0,1
2000,3,19,1.0,20,2.0,38,3.0,4.0,3,0,0.3333333333333333,1.3333333333333333,4,0,3,1,2,2,0.0,0.0,0.0,35,77,3,1,0,1,16,0.5,2.0,0.5,2.0,5,5,-3.0,3.0,1.0,0.6666666666666666,102.66666666666666,11.666666666666666,-42,1,0,1225,5929,0.3333333333333333,0.03508771929824561,0,0,0,1
2000,3,13,3.0,5,3.0,28,2.0,1.0,15,1,1.0,0.3333333333333333,1,3,2,1,2,2,0.0,0.0,0.0,267,80,1,2,2,2,-2,1.5,0.5,1.5,0.5,5,5,2.0,-2.0,0.6666666666666666,1.0,26.666666666666664,267.0,187,0,1,71289,6400,0.04444444444444444,0.07692307692307693,0,0,1,0
2000,3,18,1.0,32,3.0,19,5.0,6.0,2,0,0.3333333333333333,2.0,4,0,1,2,2,2,0.0,0.0,0.0,237,169,2,0,2,3,16,0.5,3.0,0.5,3.0,5,5,-5.0,5.0,1.6666666666666667,1.0,338.0,79.0,68,0,1,56169,28561,0.8333333333333334,0.05555555555555555,0,0,0,1
2000,3,10,3.0,26,2.0,29,5.0,4.0,5,0,1.0,1.3333333333333333,1,2,3,2,2,2,0.0,0.0,0.0,191,79,2,1,0,5,5,1.5,2.0,1.5,2.0,5,5,-1.0,1.0,1.6666666666666667,0.6666666666666666,105.33333333333333,191.0,112,0,1,36481,6241,0.33333333333333337,0.06666666666666667,0,0,0,1
