Temporada,Jornada,Posicion_Local,Puntos_Acumulados_Local,Local,Goles_Acumulados_Local,Visitante,Goles_Acumulados_Visitantes,Puntos_Acumulados_Visitantes,Posicion_Visitante,Resultado,Ratio_Jornada_Local,Ratio_Jornada_Visitante,Estado_Tabla_Local,Estado_Tabla_Visitante,Racha_Local,Racha_Visitante,Racha_Puntos_Local,Racha_Puntos_Visitante,Media_Goles,Media_Goles_Local,Media_Goles_Visitante,Goles_Encajados_Local_Acumulados,Goles_Encajados_Visitante_Acumulados,Goles_Marcados_Local_Acumulados,Goles_Marcados_Visitante_Acumulados,Diferencia_Posicion,Rendimiento_Casa_Local,Rendimiento_Fuera_Visitante,Forma_Reciente_Local,Forma_Reciente_Visitante,Porterias_Cero_Local_Acum,Porterias_Cero_Visitante_Acum,Diferencia_Puntos_Local,Diferencia_Puntos_Visitante,Ratio_Goles_por_partido_Visitante,Ratio_Goles_por_partido_Local,Local_Es_Favorito,Visitante_Es_Favorito,Rendimiento_Vistante,Rendimiento_Local,Local_Es_Ofensivo,Visitante_Es_Ofensivo,Local_Es_Defensivo,Visitante_Es_Defensivo
2000,3,14,0.0,24,0.0,23,2.0,0.0,10,1,0.0,0.0,3,1,0,2,2,2,0.0,0.0,0.0,0,2,0,1,4,0.0,0.0,0.0,0.0,6,6,0.0,0.0,0.6666666666666666,0.0,0,0,0.06666666666666667,0.0,0,0,1,0
2000,3,4,6.0,19,14.0,5,11.0,6.0,2,0,2.0,2.0,0,0,1,2,2,2,0.0,0.0,0.0,0,3,2,1,2,3.0,3.0,3.0,3.0,7,6,0.0,0.0,3.6666666666666665,4.666666666666667,0,0,1.8333333333333333,1.1666666666666667,0,0,1,0
2000,3,12,3.0,12,4.0,32,2.0,0.0,19,1,1.0,0.0,1,4,2,2,2,2,0.0,0.0,0.0,2,4,1,1,-7,1.5,0.0,1.5,0.0,7,6,3.0,-3.0,0.6666666666666666,1.3333333333333333,0,0,0.03508771929824561,0.1111111111111111,0,0,1,0
2000,3,5,3.0,0,3.0,26,4.0,3.0,8,0,1.0,1.0,2,2,2,1,2,2,0.0,0.0,0.0,1,1,0,2,-3,1.5,1.5,1.5,1.5,8,6,0.0,0.0,1.3333333333333333,1.0,0,0,0.16666666666666666,0.2,0,0,0,0
2000,3,6,3.0,3,13.0,24,0.0,0.0,14,0,1.0,0.0,2,3,1,2,2,2,0.0,0.0,0.0,1,4,3,0,-8,1.5,0.0,1.5,0.0,8,6,3.0,-3.0,0.0,4.333333333333333,0,0,0.0,0.7222222222222222,0,0,1,0
2000,3,7,3.0,29,5.0,8,14.0,9.0,1,0,1.0,3.0,2,0,0,1,2,2,0.0,0.0,0.0,0,0,0,2,6,3.0,4.5,3.0,4.5,9,6,-6.0,6.0,4.666666666666667,1.6666666666666667,0,0,4.666666666666667,0.2380952380952381,0,0,0,0
2000,3,3,6.0,37,21.0,20,0.0,0.0,11,0,2.0,0.0,0,1,1,0,2,2,0.0,0.0,0.0,0,0,4,0,-8,3.0,0.0,3.0,0.0,9,6,6.0,-6.0,0.0,7.0,0,0,0.0,2.3333333333333335,0,0,0,0
2000,3,17,0.0,27,0.0,41,1.0,0.0,20,0,0.0,0.0,3,4,0,0,2,2,0.0,0.0,0.0,0,0,0,0,-3,0.0,0.0,0.0,0.0,9,6,0.0,0.0,0.3333333333333333,0.0,0,0,0.016666666666666666,0.0,0,0,0,0
2000,3,10,0.0,23,2.0,25,1.0,3.0,9,1,0.0,1.0,1,1,0,2,2,2,0.0,0.0,0.0,0,2,0,0,1,0.0,1.5,0.0,1.5,9,6,-3.0,3.0,0.3333333333333333,0.6666666666666666,0,0,0.037037037037037035,0.06666666666666667,0,0,1,0
2000,3,11,0.0,20,0.0,23,2.0,0.0,10,0,0.0,0.0,1,1,2,5,2,2,0.0,0.0,0.0,3,2,0,2,1,0.0,0.0,0.0,0.0,9,6,0.0,0.0,0.6666666666666666,0.0,0,0,0.06666666666666667,0.0,0,0,0,1
